timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1549475327496,0.008057,-0.105103,-0.994080,0.060976,-0.198171,0.030488
1549475327504,0.009399,-0.106445,-1.006287,0.060976,-0.213415,0.015244
1549475327511,0.009094,-0.106140,-1.002747,0.091463,-0.213415,0.000000
1549475327526,0.008484,-0.106750,-1.002258,0.091463,-0.228659,0.045732
1549475327534,0.008545,-0.105713,-1.000122,0.091463,-0.213415,0.015244
1549475327541,0.011230,-0.106201,-0.998230,0.106707,-0.198171,0.015244
1549475327556,0.010986,-0.104858,-0.997681,0.076220,-0.228659,0.030488
1549475327564,0.008179,-0.105591,-0.999023,0.076220,-0.228659,0.030488
1549475327571,0.009216,-0.107300,-1.001770,0.076220,-0.213415,0.030488
1549475327586,0.007202,-0.106873,-1.000610,0.091463,-0.198171,0.030488
1549475327594,0.008362,-0.106323,-1.001892,0.076220,-0.198171,0.030488
1549475327601,0.012390,-0.104553,-1.002563,0.091463,-0.228659,0.045732
1549475327616,0.009216,-0.106567,-1.003113,0.091463,-0.243902,0.045732
1549475327624,0.007690,-0.106323,-0.999817,0.076220,-0.213415,0.030488
1549475327631,0.008972,-0.107849,-0.999573,0.060976,-0.198171,0.030488
1549475327646,0.009888,-0.105591,-1.001465,0.091463,-0.198171,0.030488
1549475327654,0.010071,-0.105530,-1.000854,0.106707,-0.213415,0.030488
1549475327661,0.008911,-0.105103,-1.002014,0.091463,-0.198171,0.015244
1549475327676,0.009216,-0.107483,-1.000427,0.076220,-0.228659,0.015244
1549475327684,0.008667,-0.106689,-1.001526,0.076220,-0.228659,0.030488
1549475327691,0.008118,-0.106567,-1.001587,0.076220,-0.213415,0.045732
1549475327706,0.009705,-0.107910,-1.001648,0.076220,-0.213415,0.030488
1549475327714,0.010193,-0.106201,-1.001526,0.076220,-0.213415,0.015244
1549475327721,0.010559,-0.106079,-1.001587,0.076220,-0.198171,0.030488
1549475327736,0.008545,-0.107361,-1.000427,0.106707,-0.198171,0.030488
1549475327744,0.007385,-0.106750,-1.000122,0.091463,-0.213415,0.015244
1549475327751,0.007935,-0.106384,-1.000305,0.091463,-0.198171,0.030488
1549475327766,0.010864,-0.106628,-0.998230,0.091463,-0.213415,0.030488
1549475327774,0.009949,-0.107666,-0.999390,0.091463,-0.213415,0.030488
1549475327781,0.006836,-0.106262,-0.998962,0.091463,-0.213415,0.030488
1549475327796,0.010071,-0.104736,-1.000977,0.091463,-0.198171,0.030488
1549475327810,0.010925,-0.106873,-0.998352,0.060976,-0.198171,0.030488
1549475327817,0.009399,-0.106201,-1.000183,0.091463,-0.213415,0.015244
1549475327826,0.008057,-0.106628,-0.999573,0.076220,-0.213415,0.015244
1549475327840,0.007263,-0.105713,-0.999939,0.060976,-0.198171,0.045732
1549475327848,0.008972,-0.105652,-1.000122,0.091463,-0.198171,0.030488
1549475327856,0.009705,-0.105469,-0.999756,0.091463,-0.213415,0.030488
1549475327864,0.008240,-0.106934,-0.998291,0.091463,-0.228659,0.030488
1549475327871,0.007812,-0.107178,-1.000122,0.076220,-0.198171,0.030488
1549475327886,0.010498,-0.106506,-1.000366,0.076220,-0.182927,0.015244
1549475327894,0.010498,-0.107666,-1.000183,0.091463,-0.198171,0.045732
1549475327901,0.008606,-0.108032,-1.000061,0.091463,-0.213415,0.045732
1549475327923,0.008789,-0.105652,-1.002625,0.060976,-0.228659,0.030488
1549475327930,0.007690,-0.104614,-1.000183,0.076220,-0.213415,0.030488
1549475327938,0.010376,-0.105713,-1.000061,0.091463,-0.182927,0.030488
1549475327946,0.010498,-0.105164,-0.999695,0.076220,-0.213415,0.030488
1549475327954,0.008362,-0.105835,-0.997986,0.106707,-0.198171,0.000000
1549475327961,0.010315,-0.106323,-1.000305,0.076220,-0.198171,0.030488
1549475327976,0.008057,-0.105042,-0.999390,0.091463,-0.213415,0.015244
1549475327984,0.009583,-0.108093,-0.998840,0.091463,-0.182927,0.015244
1549475327991,0.007812,-0.106384,-1.000488,0.091463,-0.213415,0.030488
1549475328006,0.008240,-0.105408,-0.999268,0.060976,-0.213415,0.015244
1549475328014,0.007629,-0.107300,-0.999878,0.106707,-0.213415,0.015244
1549475328028,0.009521,-0.106995,-1.000122,0.091463,-0.228659,0.015244
1549475328042,0.009399,-0.105652,-1.000122,0.076220,-0.213415,0.045732
1549475328050,0.009521,-0.106934,-1.000977,0.076220,-0.198171,0.030488
1549475328057,0.007446,-0.106995,-1.000793,0.076220,-0.198171,0.030488
1549475328066,0.008667,-0.104004,-1.000061,0.060976,-0.213415,0.030488
1549475328074,0.009460,-0.106689,-1.002441,0.076220,-0.213415,0.030488
1549475328081,0.008606,-0.106812,-1.001160,0.076220,-0.228659,0.030488
1549475328096,0.008667,-0.105835,-0.999390,0.106707,-0.213415,0.030488
1549475328104,0.009521,-0.108093,-0.999390,0.106707,-0.213415,0.030488
1549475328111,0.009888,-0.105774,-1.000122,0.076220,-0.213415,0.015244
1549475328126,0.010925,-0.106018,-1.002625,0.076220,-0.213415,0.030488
1549475328134,0.009827,-0.106384,-0.998962,0.060976,-0.213415,0.030488
1549475328141,0.007019,-0.106140,-0.999207,0.076220,-0.213415,0.030488
1549475328163,0.009033,-0.107239,-1.000488,0.091463,-0.213415,0.030488
1549475328170,0.010071,-0.105896,-1.000061,0.045732,-0.228659,0.030488
1549475328178,0.010132,-0.105347,-0.998962,0.060976,-0.213415,0.030488
1549475328186,0.009338,-0.106140,-1.000366,0.076220,-0.198171,0.045732
1549475328194,0.008545,-0.106384,-0.999817,0.076220,-0.198171,0.045732
1549475328201,0.010132,-0.105896,-1.000427,0.091463,-0.228659,0.030488
1549475328216,0.010925,-0.104248,-1.000122,0.091463,-0.228659,0.030488
1549475328224,0.009033,-0.105591,-1.001038,0.091463,-0.228659,0.015244
1549475328231,0.009766,-0.106018,-1.000244,0.091463,-0.228659,0.015244
1549475328246,0.009033,-0.107849,-1.001831,0.091463,-0.198171,0.030488
1549475328254,0.009094,-0.109131,-0.999939,0.106707,-0.213415,0.045732
1549475328261,0.007996,-0.105286,-1.000000,0.106707,-0.213415,0.015244
1549475328276,0.008850,-0.107422,-1.001770,0.091463,-0.198171,0.015244
1549475328284,0.009583,-0.105530,-0.998230,0.091463,-0.228659,0.030488
1549475328291,0.008484,-0.105408,-1.000427,0.091463,-0.198171,0.030488
1549475328306,0.010132,-0.105774,-1.000916,0.106707,-0.198171,0.015244
1549475328314,0.009644,-0.105408,-0.999817,0.121951,-0.198171,0.015244
1549475328321,0.008545,-0.107422,-0.999329,0.091463,-0.213415,0.030488
1549475328336,0.010620,-0.105774,-0.996948,0.091463,-0.228659,0.000000
1549475328344,0.007996,-0.107727,-1.000977,0.076220,-0.198171,0.015244
1549475328351,0.008545,-0.108276,-0.999573,0.091463,-0.198171,0.045732
1549475328366,0.007019,-0.107117,-1.000793,0.091463,-0.228659,0.045732
1549475328374,0.009399,-0.105713,-1.002014,0.076220,-0.213415,0.030488
1549475328381,0.009827,-0.106995,-0.998413,0.060976,-0.182927,0.030488
1549475328396,0.010376,-0.105652,-0.998535,0.091463,-0.213415,0.030488
1549475328404,0.008789,-0.105896,-0.999451,0.060976,-0.213415,0.015244
1549475328411,0.008911,-0.106018,-0.996948,0.060976,-0.213415,0.030488
1549475328426,0.008301,-0.107605,-1.000366,0.076220,-0.213415,0.030488
1549475328434,0.008911,-0.105225,-1.002075,0.076220,-0.213415,0.030488
1549475328441,0.008484,-0.105530,-0.999634,0.091463,-0.198171,0.015244
1549475328456,0.007751,-0.106506,-0.999634,0.091463,-0.198171,0.015244
1549475328464,0.008362,-0.104187,-0.998901,0.076220,-0.198171,0.030488
1549475328479,0.009094,-0.105042,-0.998291,0.060976,-0.198171,0.030488
1549475328486,0.007629,-0.105225,-0.997253,0.045732,-0.198171,0.045732
1549475328494,0.007812,-0.105591,-1.000122,0.091463,-0.213415,0.030488
1549475328501,0.008240,-0.106201,-1.000427,0.091463,-0.243902,0.030488
1549475328516,0.008362,-0.107422,-0.999512,0.076220,-0.213415,0.015244
1549475328524,0.010010,-0.107300,-0.999695,0.076220,-0.213415,0.030488
1549475328531,0.008789,-0.104919,-1.000732,0.076220,-0.213415,0.030488
1549475328552,0.008606,-0.106140,-0.999573,0.060976,-0.213415,0.030488
1549475328560,0.008789,-0.106812,-0.997742,0.091463,-0.228659,0.030488
1549475328567,0.009827,-0.105652,-0.998657,0.091463,-0.213415,0.030488
