timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1548436960088,-0.847107,0.038818,0.545105,-1.097561,2.682927,0.121951
1548436960096,-0.857056,0.036194,0.548767,-1.036585,2.317073,-0.060976
1548436960112,-0.862793,0.036194,0.545593,-0.914634,1.646341,-0.182927
1548436960118,-0.867065,0.037537,0.547791,-0.731707,1.219512,-0.365854
1548436960126,-0.872498,0.035095,0.547974,-0.609756,0.731707,-0.609756
1548436960141,-0.878906,0.032471,0.550781,-0.365854,0.487805,-0.670732
1548436960148,-0.882080,0.033569,0.552612,-0.304878,0.243902,-0.670732
1548436960157,-0.885193,0.032227,0.550293,-0.365854,0.060976,-0.731707
1548436960171,-0.885986,0.032898,0.549866,-0.487805,-0.182927,-0.731707
1548436960178,-0.885254,0.031677,0.552917,-0.365854,-0.243902,-0.670732
1548436960186,-0.882690,0.030334,0.554932,-0.304878,-0.060976,-0.670732
1548436960201,-0.880676,0.030212,0.555054,-0.243902,-0.060976,-0.670732
1548436960208,-0.880249,0.026428,0.556885,-0.243902,0.060976,-0.609756
1548436960216,-0.883484,0.026550,0.557312,-0.121951,0.000000,-0.609756
1548436960231,-0.882324,0.026123,0.558044,-0.182927,0.000000,-0.548781
1548436960238,-0.880066,0.027466,0.557373,-0.182927,0.060976,-0.609756
1548436960246,-0.882568,0.027649,0.554260,-0.121951,0.121951,-0.609756
1548436960260,-0.881104,0.029297,0.555054,-0.121951,0.060976,-0.609756
1548436960268,-0.878479,0.028870,0.554138,0.060976,0.000000,-0.670732
1548436960276,-0.879761,0.027588,0.551147,0.182927,0.060976,-0.487805
1548436960290,-0.879028,0.027100,0.550110,0.182927,0.060976,-0.487805
1548436960297,-0.880005,0.026306,0.551636,0.304878,-0.060976,-0.548781
1548436960305,-0.879333,0.024353,0.549927,0.304878,-0.060976,-0.426829
1548436960320,-0.878418,0.024658,0.549438,0.426829,-0.060976,-0.365854
1548436960327,-0.878357,0.023621,0.549744,0.365854,-0.121951,-0.243902
1548436960335,-0.878967,0.024536,0.547729,0.365854,-0.182927,-0.243902
1548436960350,-0.879517,0.024841,0.549927,0.304878,-0.243902,-0.121951
1548436960357,-0.878052,0.025879,0.548157,0.365854,-0.365854,-0.182927
1548436960365,-0.879944,0.022400,0.547241,0.304878,-0.487805,-0.121951
1548436960380,-0.880188,0.022766,0.547668,0.426829,-0.548781,0.000000
